Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Type of building,Terrace surface,Garden surface,Furnished,How many fireplaces?
20237975,199000€,2,88,Installed,2,2610,wilrijk,for-sale,apartment,apartment,,,,,
11276776,64500€,,,,1,8660,de-panne,for-sale,kot,apartment,All kind,,,,
20241057,189000€,,74,,1,8600,diksmuide,for-sale,apartment,apartment,All kind,3,,,
20241055,285000€,,94,,2,8000,brugge,for-sale,apartment,apartment,All kind,,,,
20241050,165000€,,17,,,9000,gent,for-sale,kot,apartment,All kind,,,,
20241048,330000€,2,85,USA installed,2,1300,wavre,for-sale,apartment,apartment,Apartment building,25,25,,
20241031,Starting price : 380000€,,,,,8620,nieuwpoort,for-sale,apartment,apartment,,,,,
20241020,Starting price : 150000€,,,,2,8420,de-haan,for-sale,apartment,apartment,,,,,
20191488,225000€,,,,2,1070,anderlecht,for-sale,apartment,apartment,All kind,11,,,
20241014,136101€,,29,,1,2650,edegem,for-sale,flat-studio,apartment,All kind,,1000,,
20241011,165000€,,60,Installed,1,2660,antwerpen,for-sale,apartment,apartment,Apartment building,9,,,
20241010,249000€,,70,Semi equipped,1,1000,brussel,for-sale,apartment,apartment,,,,,
20241007,205000€,2,38,Installed,1,9000,gent,for-sale,apartment,apartment,,,,,
20241004,205000€,2,38,Installed,1,9000,gent,for-sale,apartment,apartment,,,,,
20241003,404000€,,75,,2,2650,edegem,for-sale,apartment,apartment,All kind,1,1000,,
20240999,110000€,2,70,,2,7330,saint-ghislain,for-sale,apartment,apartment,All kind,,,,
20240996,392615€,2,80,,1,2650,edegem,for-sale,apartment,apartment,All kind,10,1000,Yes,
20240993,450000€,4,500,Installed,6,1000,bruxelles,for-sale,apartment,apartment,All kind,40,,,1
20240987,From 145000€ To 217500€,,,,,6140,fontaine-leveque,for-sale,new-real-estate-project-apartments,apartment,,,,,
20240983,65000€,2,45,Installed,1,4020,liege,for-sale,flat-studio,apartment,,,,No,
20240972,399000€,2,110,Semi equipped,3,1180,uccle,for-sale,ground-floor,apartment,,24,,,
20240970,249000€,2,340,Semi equipped,8,5580,han-sur-lesse,for-sale,apartment,apartment,,30,520,No,
20240966,240000€,2,103,,2,2610,antwerpen,for-sale,apartment,apartment,Apartment building,5,,,1
20240965,279995€,2,,Hyper equipped,2,7850,enghien,for-sale,apartment,apartment,All kind,10,,,
20192628,375000€,2,82,USA hyper equipped,2,1000,bruxelles,for-sale,apartment,apartment,,15,,No,
20240947,209000€,2,47,USA installed,1,8434,westende,for-sale,apartment,apartment,Apartment building,6,200,Yes,
20240854,497000€,2,204,,3,9060,zelzate,for-sale,apartment,apartment,All kind,7,,,1
20240945,1395000€,,150,Hyper equipped,3,1180,uccle,for-sale,penthouse,apartment,,75,,No,
20240940,98500€,,41,,1,6950,nassogne,for-sale,flat-studio,apartment,,6,,,1
20240927,225000€,2,50,Installed,1,1000,bruxelles,for-sale,apartment,apartment,,15,,No,
